Rank,Country,Freedom
1,Estonia,6
2,Iceland,6
3,Canada,15
4,Germany,19
5,Australia,21
6,United States,22
7,United Kingdom,23
8,France,25
9,Georgia,25
10,Italy,25
11,Japan,25
12,South Africa,25
13,Armenia,27
14,Argentina,28
15,Hungary,29
16,Brazil,31
17,Colombia,31
18,Philippines,31
19,Kenya,32
20,South Korea,36
21,Nigeria,37
22,Kyrgyzstan,38
23,Tunisia,38
24,Malawi,39
25,Angola,40
26,Ecuador,40
27,Mexico,40
28,Singapore,41
29,Uganda,41
30,Zambia,42
31,India,43
32,Malaysia,45
33,Morocco,45
34,Ukraine,45
35,Indonesia,46
36,Lebanon,47
37,Sri Lanka,47
38,Jordan,49
39,Bangladesh,51
40,Libya,51
41,Zimbabwe,53
42,Cambodia,55
43,Gambia The,55
44,Rwanda,55
45,Azerbaijan,60
46,Kazakhstan,62
47,Belarus,64
48,Myanmar,64
49,Sudan,65
50,Thailand,65
51,Turkey,66
52,Venezuela,66
53,Russia,67
54,United Arab Emirates,69
55,Bahrain,71
56,Egypt,72
57,Pakistan,73
58,Saudi Arabia,73
59,Uzbekistan,75
60,Vietnam,76
61,Cuba,79
62,Ethiopia,83
63,Syria,83
64,Iran,85
65,China,88
